f, RPR, RBV, F_last, Recl_last
76602.5,0.846944,1.06727,0.110803,334369
76602.5,0.846944,1.06727,0.110803,334369
76602.3,0.846944,1.06727,0.110803,334370
76600.3,0.846944,1.06727,0.110803,334382
76580.3,0.846944,1.06727,0.110802,334501
76382.8,0.846943,1.06726,0.110789,335696
74636.2,0.846932,1.06725,0.110665,347875
70759,0.847337,1.06776,0.108021,347469
38253.3,0.850802,1.07213,0.0848428,343435
231813,0.87943,1.1082,0.0716852,704846
38261.8,0.854029,1.07619,0.0835211,367234
36761.3,0.852328,1.07405,0.084222,354368
37557.3,0.867519,1.09319,0.0830575,375405
36167,0.858613,1.08197,0.0837581,362569
34567,0.873479,1.1007,0.0749068,407438
159964,0.95932,1.20888,0.0253796,1.29828e+06
32895.1,0.888504,1.11964,0.0660874,464567
78633.9,0.941613,1.18656,0.0343817,884098
32527.9,0.895065,1.1279,0.0620648,493805
31870.3,0.905529,1.14109,0.0549688,542719
31655.2,0.921404,1.1611,0.044778,644577
31983.1,0.925117,1.16577,0.0423412,683160
31590.1,0.922583,1.16258,0.0440009,656396
31536.4,0.923875,1.16421,0.0430951,667215
31459.9,0.924405,1.16488,0.0428104,674558
32475.9,0.921676,1.16144,0.0421584,684840
31454.8,0.924227,1.16465,0.0427666,675240
31463.6,0.924318,1.16477,0.0426752,675952
31453.4,0.924252,1.16468,0.0427421,675430
31454.2,0.924334,1.16479,0.0427945,675490
31452.9,0.924284,1.16472,0.0427625,675454
31451.8,0.924282,1.16472,0.0427637,675450
31442,0.924267,1.1647,0.0427754,675409
31420.2,0.924252,1.16468,0.0427725,675331
31204.3,0.924101,1.16449,0.0427441,674551
29250,0.922555,1.16255,0.0424608,666801
25054.4,0.920197,1.15957,0.0422055,650571
2759.08,0.891519,1.12344,0.0397408,508294
422222,0.937701,1.18163,0.0691185,360297
2101.11,0.894311,1.12695,0.0405728,501688
35600.4,0.912283,1.1496,0.0352136,494921
2089.84,0.894677,1.12742,0.0404755,501574
3620.37,0.899083,1.13297,0.0392324,501224
2089.76,0.89471,1.12746,0.0404663,501571
2089.79,0.894687,1.12743,0.0404541,501573
2089.72,0.8947,1.12744,0.0404612,501572
2089.65,0.894699,1.12744,0.0404606,501571
2088.97,0.89469,1.12743,0.0404548,501565
2083.24,0.894592,1.12731,0.0403973,501507
2070.35,0.894608,1.12733,0.0403861,501394
1949.61,0.894765,1.12753,0.0402746,500265
1699.2,0.893777,1.12628,0.0400864,497802
4137.01,0.882359,1.11189,0.0412518,492292
1677.96,0.892877,1.12515,0.0401838,497333
4909.07,0.909078,1.14556,0.0407911,496784
1677.82,0.892992,1.12529,0.0401877,497329
1677.91,0.893137,1.12547,0.0400972,497327
1677.77,0.893047,1.12536,0.0401534,497328
1677.66,0.893048,1.12536,0.040151,497327
1676.63,0.893057,1.12537,0.0401268,497308
1667.05,0.893152,1.12549,0.0398859,497126
1645.76,0.893085,1.12541,0.0398793,496737
1448.44,0.892409,1.12456,0.0398132,492862
1441.88,0.882067,1.11153,0.041717,484363
1335.99,0.887345,1.11818,0.0407743,488500
85057,0.75725,0.954239,0.0979159,480560
1335.85,0.887267,1.11808,0.0408151,488491
1336.07,0.887427,1.11828,0.0409156,488478
1335.81,0.887311,1.11813,0.0408431,488487
1335.74,0.88731,1.11813,0.0408415,488485
1334.96,0.887299,1.11812,0.0408252,488465
1327.63,0.887184,1.11797,0.040663,488259
1311.4,0.887122,1.1179,0.0406598,487812
1165.56,0.886497,1.11711,0.040628,483357
2413.82,0.880536,1.1096,0.0463548,473969
1148.92,0.885956,1.11643,0.0411793,482385
15304.3,0.847679,1.06819,0.0313729,481586
1148.9,0.885925,1.11639,0.0411663,482384
1148.87,0.885923,1.11638,0.0411633,482382
1148.62,0.8859,1.11636,0.0411336,482366
1148.05,0.885895,1.11635,0.0411334,482340
1142.43,0.885842,1.11628,0.041131,482080
1089.37,0.885314,1.11562,0.0411076,479495
1054.19,0.885123,1.11538,0.0417732,473809
108218,0.915591,1.15377,0.122351,468420
1054.18,0.885143,1.1154,0.0417859,473807
1054.15,0.885144,1.1154,0.0417867,473805
1053.96,0.885149,1.11541,0.0417946,473786
1053.54,0.885141,1.1154,0.0417956,473750
1049.31,0.885065,1.1153,0.0418061,473387
1009.88,0.884301,1.11434,0.0419111,469775
1929.23,0.882312,1.11183,0.0411235,461960
1007.94,0.884218,1.11424,0.0418762,469429
1004.09,0.884136,1.11413,0.0418859,469096
968.171,0.883318,1.1131,0.0419826,465778
900.197,0.880365,1.10938,0.0426462,453760
823.39,0.871627,1.09837,0.0448777,422288
815.886,0.867263,1.09287,0.0463996,408390
804.078,0.85831,1.08159,0.0498006,382865
792.678,0.841374,1.06025,0.0566649,342576
788.608,0.839744,1.05819,0.0575663,340193
786.792,0.836438,1.05403,0.0589604,333575
784.908,0.833892,1.05082,0.0600193,328662
783.657,0.832044,1.04849,0.0607284,325175
783.144,0.830608,1.04668,0.0612597,322453
782.963,0.829675,1.0455,0.0615804,320752
782.919,0.829144,1.04483,0.0617891,319774
782.91,0.828885,1.04451,0.0618947,319307
782.906,0.828775,1.04437,0.0619408,319106
782.901,0.828663,1.04423,0.0619879,318900
782.89,0.828539,1.04407,0.0620403,318671
782.872,0.828396,1.04389,0.0621004,318409
782.843,0.828209,1.04366,0.0621793,318067
782.832,0.828029,1.04343,0.0622569,317733
782.823,0.828094,1.04351,0.0622291,317853
782.801,0.828141,1.04357,0.0622102,317938
782.762,0.82831,1.04378,0.0621399,318246
782.698,0.82852,1.04405,0.0620516,318628
782.627,0.829071,1.04474,0.0618209,319639
782.673,0.829548,1.04534,0.0616203,320529
782.606,0.829282,1.04501,0.0617324,320031
782.589,0.829328,1.04507,0.0617124,320121
782.558,0.829258,1.04498,0.0617412,319992
782.508,0.829101,1.04478,0.0618067,319703
782.445,0.828842,1.04445,0.0619141,319237
783.01,0.82835,1.04384,0.0621218,318317
782.432,0.828716,1.0443,0.0619674,319001
782.409,0.828616,1.04417,0.0620099,318809
782.371,0.828689,1.04426,0.0619801,318941
782.315,0.828989,1.04464,0.061855,319494
782.444,0.829065,1.04473,0.0618224,319633
782.3,0.829015,1.04467,0.0618435,319543
782.276,0.829067,1.04474,0.0618214,319639
782.237,0.829065,1.04474,0.061822,319635
782.266,0.829004,1.04466,0.0618476,319523
782.216,0.829035,1.0447,0.0618345,319580
782.183,0.828953,1.04459,0.0618691,319428
782.141,0.82886,1.04448,0.0619084,319256
782.436,0.82877,1.04436,0.061946,319090
782.13,0.828834,1.04444,0.0619193,319208
782.111,0.828835,1.04445,0.0619188,319210
782.081,0.828863,1.04448,0.0619071,319261
782.04,0.828944,1.04458,0.061873,319411
782.273,0.829025,1.04469,0.0618388,319561
782.026,0.82897,1.04462,0.061862,319459
