f, RPR, RBV, F_last, Recl_last
74222.4,0.84303,0.798553,0.110803,334369
74222.4,0.84303,0.798553,0.110803,334369
74222.2,0.84303,0.798553,0.110803,334370
74220.2,0.84303,0.798553,0.110803,334381
74200.2,0.84303,0.798552,0.110804,334492
74002.1,0.843025,0.798548,0.11081,335599
72193.1,0.842978,0.798504,0.110867,346872
68195.9,0.842773,0.798309,0.111441,346493
35241.4,0.84048,0.796137,0.117349,342731
423098,0.739564,0.700545,0.13665,1.03328e+06
34751,0.836801,0.792652,0.118209,361416
34286.1,0.838288,0.794061,0.114788,369229
32843.1,0.8497,0.804871,0.104238,406333
86902.8,0.929255,0.880228,0.0402406,1.05369e+06
29871.2,0.871591,0.825606,0.084954,497899
135461,0.947933,0.897921,0.0326534,1.26354e+06
29598.9,0.877475,0.83118,0.0806856,523182
29101.7,0.887611,0.840781,0.0738241,565235
28841.8,0.902413,0.854802,0.0637397,653169
28762.9,0.908739,0.860795,0.0592067,705471
28664.2,0.906324,0.858508,0.0609302,684635
28966.5,0.911276,0.863198,0.0577206,712590
28612.3,0.907773,0.859879,0.0599905,692544
28543.9,0.907537,0.859656,0.0599765,699284
36136.9,0.904706,0.856974,0.0593778,706037
28543.3,0.907513,0.859633,0.0599712,699342
28542.4,0.907526,0.859646,0.0599659,699343
28540.7,0.907511,0.859632,0.0599722,699333
28537.3,0.907471,0.859594,0.0599958,699312
28512.1,0.907069,0.859213,0.0602318,699106
28455.2,0.906934,0.859085,0.060313,698734
27904.6,0.905569,0.857792,0.0611312,695028
24297.1,0.890787,0.84379,0.0699776,659010
16694.9,0.882333,0.835782,0.0784026,607445
116060,0.902503,0.854888,0.0440138,518082
16222.6,0.883929,0.837294,0.075745,601764
106060,0.907836,0.859939,0.0509171,594474
16220.3,0.884054,0.837412,0.0756075,601731
16221.2,0.88417,0.837522,0.0759655,601697
16219.4,0.884103,0.837458,0.0757579,601717
16217.5,0.884105,0.83746,0.0757631,601718
16199.2,0.884122,0.837477,0.0758144,601728
16086,0.884294,0.83764,0.0763303,601829
15821,0.884418,0.837757,0.0762122,602205
13351.6,0.885647,0.838921,0.0750414,605980
9261.92,0.885517,0.838798,0.0803905,614048
580028,0.303996,0.287958,0.519776,619244
9249.26,0.884516,0.83785,0.0811299,614073
9951.88,0.884035,0.837395,0.0771345,614169
9249.04,0.884509,0.837844,0.0810588,614075
9248.6,0.884515,0.837848,0.0810527,614070
9244.31,0.884565,0.837896,0.0809919,614022
9210.57,0.885066,0.838371,0.0803861,613546
9133.88,0.884854,0.83817,0.0805758,612558
8394.64,0.882713,0.836142,0.0824986,602768
3740.97,0.858975,0.813657,0.10449,512999
18676.6,0.869579,0.823701,0.108965,396332
2688,0.862775,0.817256,0.105337,488132
246305,0.785294,0.743863,0.00361918,472223
2684.09,0.863285,0.817739,0.103878,488079
3114.99,0.868766,0.82293,0.0975573,488239
2684.05,0.863336,0.817787,0.10382,488080
2683.98,0.863343,0.817794,0.10383,488081
2683.39,0.863409,0.817856,0.103928,488087
2682.05,0.86341,0.817857,0.103921,488102
2668.78,0.863417,0.817864,0.103844,488260
2540.88,0.863487,0.81793,0.103079,489839
1746.11,0.864095,0.818506,0.0957307,505908
940.901,0.871257,0.82529,0.0965238,531427
293414,0.37595,0.356115,0.105187,552065
939.538,0.871142,0.825182,0.0965364,531457
2020.78,0.870462,0.824537,0.108487,531348
939.536,0.871142,0.825181,0.0965505,531457
939.532,0.871141,0.825181,0.0965498,531457
939.498,0.871137,0.825176,0.0965423,531454
939.18,0.871092,0.825134,0.0964675,531422
938.47,0.871073,0.825115,0.0964803,531355
931.451,0.870874,0.824927,0.096609,530686
870.023,0.868867,0.823027,0.0979049,524038
156032,0.222601,0.210857,0.0156941,512151
869.997,0.868823,0.822985,0.0978402,524033
869.944,0.86882,0.822982,0.0978422,524024
869.419,0.868793,0.822957,0.0978623,523927
864.227,0.868523,0.822701,0.0980629,522958
818.324,0.865797,0.820118,0.100092,513369
742.205,0.856694,0.811495,0.107224,482475
705.776,0.843619,0.79911,0.118073,443208
712.175,0.831215,0.78736,0.128418,410679
698.872,0.838231,0.794007,0.12254,428523
690.981,0.833004,0.789055,0.127125,415284
680.931,0.821606,0.778258,0.137297,388993
676.614,0.815725,0.772688,0.142565,377097
670.234,0.804924,0.762457,0.152221,357003
664.777,0.795428,0.753462,0.160642,341805
663.568,0.785294,0.743863,0.169811,325881
662.649,0.787809,0.746245,0.167383,330122
662.53,0.78698,0.74546,0.168113,328947
662.5,0.786095,0.744621,0.168923,327642
662.495,0.785737,0.744282,0.169254,327117
662.493,0.785535,0.74409,0.169442,326825
662.491,0.785429,0.743991,0.169539,326675
662.488,0.78533,0.743897,0.169631,326535
662.482,0.785218,0.743791,0.169735,326377
662.471,0.785077,0.743657,0.169866,326178
662.455,0.784901,0.743491,0.170028,325933
662.444,0.784853,0.743445,0.170073,325870
662.431,0.784962,0.743548,0.169972,326025
662.409,0.78513,0.743707,0.169818,326264
662.371,0.785402,0.743965,0.169565,326650
662.348,0.785901,0.744437,0.169104,327353
662.338,0.785748,0.744292,0.169245,327137
662.316,0.785967,0.7445,0.169042,327442
662.301,0.78622,0.74474,0.16881,327803
662.276,0.786375,0.744887,0.16867,328028
662.238,0.786304,0.744819,0.168736,327929
662.186,0.785967,0.7445,0.169047,327453
662.244,0.785504,0.744061,0.169471,326792
662.172,0.785781,0.744324,0.169218,327187
662.151,0.785538,0.744093,0.169439,326837
662.117,0.785324,0.743891,0.169634,326529
662.089,0.785328,0.743895,0.169631,326533
662.058,0.785424,0.743986,0.169543,326668
662.045,0.785692,0.74424,0.169297,327050
662.033,0.785599,0.744152,0.169382,326918
662.011,0.785775,0.744318,0.169221,327171
661.977,0.785956,0.74449,0.169055,327433
662.007,0.786035,0.744564,0.168982,327546
661.964,0.785992,0.744524,0.169022,327485
661.942,0.785966,0.744499,0.169045,327448
661.909,0.785825,0.744366,0.169174,327245
662.064,0.785601,0.744154,0.16938,326923
661.896,0.785748,0.744292,0.169246,327134
