"","Año","$BD_{sept}$","$BT_{sept}$","$R_{sept}$","$F_{sept}$"
"1","1990/91","2288100","3182000","173290","0.187"
"2","1991/92","1521800","2165300","96205","0.344"
"3","1992/93","735220","1069100","99170","0.338"
"4","1993/94","407530","978770","148010","0.527"
"5","1994/95","437240","829500","120760","0.177"
"6","1995/96","512830","1565700","211590","0.337"
"7","1996/97","675310","1117500","85615","0.771"
"8","1997/98","369670","796270","38004","0.13"
"9","1998/99","339270","694070","36417","0.513"
"10","1999/00","219040","505070","48346","0.709"
"11","2000/01","137350","486890","91891","0.159"
"12","2001/02","271650","752990","129080","0.646"
"13","2002/03","289480","789770","106610","0.611"
"14","2003/04","233670","801960","75850","1.06"
"15","2004/05","145090","671270","71566","0.755"
"16","2005/06","189000","1401300","385970","0.592"
"17","2006/07","690680","1177500","77610","0.373"
"18","2007/08","621580","3342200","626820","0.36"
"19","2008/09","1409100","3047200","339910","0.504"
"20","2009/10","990470","1980900","269970","0.47"
"21","2010/11","1034100","3129600","376060","0.371"
"22","2011/12","1261000","2903600","524360","0.467"
"23","2012/13","1213400","2020400","104700","0.273"
"24","2013/14","979100","3370100","302100","0.247"
"25","2014/15","1390300","2421900","259460","0.244"
"26","2015/16","1145200","2085500","116610","0.195"
"27","2016/17","942600","2915700","255860","0.247"
"28","2017/18","1009000","2811200","299650","0.206"
"29","2018/19","1479800","2073200","95507","0.181"
"30","2019/20","1003700","1691100","87954","0.246"
"31","2020/21","661540","1986600","244710","0.283"
"32","2021/22","1180400","2032800","103250","0.128"
