f, RPR, RBV, F_last, Recl_last
101168,0.846944,1.06727,0.110803,256003
101168,0.846944,1.06727,0.110803,256003
101168,0.846944,1.06726,0.110803,256003
101166,0.846944,1.06726,0.110803,256001
101146,0.84694,1.0672,0.110802,255978
100946,0.846904,1.06657,0.110792,255754
98964.3,0.84654,1.06028,0.11069,253529
80795.5,0.842838,0.999788,0.109681,232309
50757.1,0.802515,0.856363,0.112719,110232
31949.9,0.740004,1.18333,0.141947,49540.9
23129.6,0.761246,1.07556,0.132408,63031.7
115801,0.711172,1.07643,0.143126,43489.8
17107.5,0.753404,1.07532,0.134495,58507.5
14860.7,0.733871,1.02414,0.129563,60331
12570.5,0.726705,0.972112,0.123102,71197
14086,0.732779,0.884999,0.115663,99263.1
11698.8,0.729107,0.937535,0.120226,80752
10834.8,0.732363,0.930211,0.11782,101508
9847.16,0.734247,0.931015,0.115561,133188
9049.3,0.739586,0.85759,0.110912,172633
7854.93,0.735099,0.857763,0.107437,205844
7464.42,0.739774,0.873063,0.100542,289344
6913.16,0.746674,0.84712,0.0962451,320490
6271.19,0.755214,0.891908,0.0889957,379875
5333.13,0.765322,0.970043,0.0769544,455318
4958.58,0.778346,0.982952,0.060627,543476
4557.09,0.791786,1.04352,0.0570898,616862
4547.71,0.809507,1.20867,0.0545008,710647
4347.23,0.801065,1.12479,0.0557403,663556
4132.81,0.812797,1.16837,0.0529745,635369
3963.37,0.826188,1.33513,0.0496236,602509
3707.58,0.840949,1.49437,0.0470849,571640
3620.38,0.86112,1.79707,0.0427501,513567
3492.24,0.869088,1.9091,0.0414399,486305
3321.49,0.879662,2.14791,0.0396729,433853
3355.15,0.884853,2.16376,0.0370024,380130
3242.87,0.882138,2.15429,0.038416,408192
3201.91,0.887868,2.26074,0.0383366,420444
3138.23,0.887145,2.22592,0.038133,429481
3048,0.886622,2.19792,0.0382726,445744
2996.51,0.889979,2.2541,0.0395549,459418
2933.13,0.890895,2.25522,0.0395746,453500
2884.03,0.896299,2.32633,0.039755,431599
2863.34,0.901035,2.45726,0.0375767,392155
2836.97,0.903844,2.53881,0.0366095,381083
2821.65,0.90714,2.61609,0.0355282,394230
2805.37,0.90818,2.65117,0.0345363,413066
2798.01,0.908665,2.63041,0.0335442,469309
2791.11,0.908186,2.60774,0.0332047,509259
2785.84,0.907412,2.58055,0.0328243,555440
2782.42,0.906856,2.5781,0.0324663,575122
2776.88,0.907036,2.57583,0.0323641,587359
2773.58,0.907395,2.60339,0.0318425,594091
2769.5,0.908363,2.63244,0.0315062,599066
2776.63,0.910423,2.71189,0.0308142,587003
2768.44,0.908922,2.65333,0.0313185,595798
2767.82,0.909857,2.67996,0.0311724,593550
2767.01,0.910343,2.69684,0.0310249,594816
2766.92,0.911001,2.7171,0.0307754,603532
2766.58,0.910687,2.70731,0.0308945,599344
2766.27,0.911238,2.72535,0.0305727,609084
2765.92,0.911823,2.74665,0.0302846,618761
2765.57,0.912722,2.78228,0.0298656,631085
2765.11,0.913644,2.81676,0.0294058,643702
2765.16,0.914898,2.86254,0.0288156,663264
2764.91,0.914262,2.83912,0.0291141,653243
2764.68,0.9148,2.86277,0.0288192,661637
2764.39,0.915391,2.88382,0.0285867,669256
2764.08,0.915943,2.9051,0.0283438,676266
2763.69,0.916465,2.9246,0.0281256,682638
2763.39,0.917188,2.95641,0.0278633,682626
2763.41,0.917935,2.98564,0.0276927,683757
2763.19,0.917542,2.97017,0.0277826,683160
2762.82,0.917791,2.97979,0.0276949,683914
2762.35,0.918093,2.99205,0.0275698,687943
2761.42,0.918438,3.0096,0.0274,693763
2760.13,0.918669,3.01577,0.0273126,700130
2757.82,0.918832,3.01861,0.0271635,712830
2753.87,0.919578,3.05056,0.0269182,718279
2746.33,0.921274,3.12291,0.0264631,714188
2703.69,0.936066,3.94027,0.0224171,675118
2673.59,0.943367,4.48814,0.0182665,1.01157e+06
2657.61,0.941172,4.30687,0.0194638,891382
2569.69,0.940233,4.21972,0.019546,946613
2261.24,0.927517,3.56161,0.0203902,1.71641e+06
1913.26,0.924132,3.28365,0.0212096,1.65605e+06
1646,0.910052,2.63999,0.0264617,1.21171e+06
145133,0.858399,2.73057,0.0253992,3.03539e+06
3024.35,0.908023,2.57165,0.0261886,1.52965e+06
1639.08,0.909984,2.62985,0.0264342,1.24039e+06
1625.63,0.910203,2.63677,0.0264326,1.2272e+06
1526.61,0.912343,2.70759,0.0264175,1.10257e+06
1401.01,0.922993,3.18818,0.0225593,1.16738e+06
1341.78,0.917814,2.97504,0.024297,1.00026e+06
1287.48,0.932651,3.8076,0.018133,1.4633e+06
1237.92,0.92924,3.5799,0.0193824,1.24895e+06
1166.2,0.931645,3.6893,0.018364,1.37127e+06
1309.24,0.939747,4.37566,0.0150487,1.86093e+06
1134.13,0.935038,3.93549,0.0169629,1.54748e+06
1087.66,0.936518,3.99156,0.0164018,1.61188e+06
1072.49,0.940945,4.36779,0.0147391,1.92635e+06
1046.81,0.94055,4.33355,0.0148154,1.9519e+06
1010.4,0.937202,4.00472,0.0158083,1.8555e+06
988.905,0.933638,3.70762,0.017019,1.71798e+06
968.247,0.932685,3.66991,0.0173,1.71434e+06
956.301,0.927859,3.39365,0.0189859,1.55003e+06
936.478,0.925587,3.27984,0.0196118,1.50705e+06
905.803,0.922232,3.11033,0.0207429,1.42779e+06
926.874,0.905819,2.54284,0.0261597,1.09539e+06
890.929,0.914629,2.81891,0.0232104,1.25474e+06
881.674,0.908283,2.59132,0.025766,1.08498e+06
867.812,0.908129,2.57386,0.0258936,1.09432e+06
847.946,0.902596,2.4125,0.027848,1.01862e+06
831.87,0.896369,2.25842,0.0304959,888957
818.983,0.892709,2.16318,0.0321231,838038
806.523,0.886344,2.01267,0.0353706,727988
790.056,0.883672,1.9632,0.036865,674077
781.655,0.880473,1.90979,0.0390116,590200
770.014,0.882949,1.95644,0.0380289,597923
759.526,0.881719,1.93599,0.038615,579482
753.593,0.885772,2.01588,0.0368393,600474
744.295,0.886443,2.042,0.0366712,588617
734.363,0.888496,2.09972,0.0358804,590316
728.429,0.889399,2.1382,0.035323,599095
721.609,0.892354,2.20994,0.0337714,651590
713.421,0.895155,2.28987,0.0320686,717472
709.51,0.899057,2.40634,0.0295752,840572
703.131,0.89774,2.3652,0.0299129,839576
694.122,0.895202,2.28625,0.0302253,864148
692.727,0.890681,2.16233,0.030567,927321
690.103,0.890343,2.1549,0.0306279,927502
685.313,0.889535,2.13693,0.0307687,927717
677.77,0.886838,2.07677,0.0311927,940356
675.008,0.87906,1.91247,0.0334063,892697
671.357,0.879016,1.91362,0.0332266,907608
668.541,0.877418,1.88321,0.0337889,895733
