f, RPR, RBV, F_last, Recl_last
76602.5,0.846944,1.06727,0.110803,334369
76602.5,0.846944,1.06727,0.110803,334369
76602.3,0.846944,1.06727,0.110803,334370
76600.3,0.846944,1.06727,0.110803,334382
76580.3,0.846944,1.06727,0.110802,334501
76382.8,0.846943,1.06726,0.110789,335696
74636.2,0.846932,1.06725,0.110665,347875
70759,0.847337,1.06776,0.108021,347469
38253.3,0.850802,1.07213,0.0848428,343435
231813,0.87943,1.1082,0.0716852,704846
38261.8,0.854029,1.07619,0.0835211,367234
36761.3,0.852328,1.07405,0.084222,354368
37557.3,0.867519,1.09319,0.0830575,375405
36167,0.858613,1.08197,0.0837581,362569
34567,0.873479,1.1007,0.0749068,407438
159964,0.95932,1.20888,0.0253796,1.29828e+06
32895.1,0.888504,1.11964,0.0660874,464566
78633.9,0.941613,1.18656,0.0343817,884098
32527.9,0.895065,1.1279,0.0620648,493805
31870.3,0.905529,1.14109,0.0549688,542719
31655.2,0.921404,1.1611,0.044778,644577
31983.1,0.925117,1.16577,0.0423412,683160
31590.1,0.922583,1.16258,0.0440009,656396
31536.4,0.923875,1.16421,0.0430951,667215
31459.9,0.924405,1.16488,0.0428104,674558
32476,0.921676,1.16144,0.0421584,684840
31454.8,0.924227,1.16465,0.0427666,675240
31463.7,0.924318,1.16477,0.0426752,675952
31453.4,0.924252,1.16468,0.0427421,675430
31454.2,0.924334,1.16479,0.0427945,675490
31452.9,0.924284,1.16472,0.0427625,675454
31451.8,0.924282,1.16472,0.0427637,675450
31442,0.924267,1.1647,0.0427754,675409
31420.2,0.924252,1.16468,0.0427725,675331
31204.3,0.924101,1.16449,0.0427441,674551
29249.9,0.922555,1.16255,0.0424608,666801
25054.4,0.920197,1.15957,0.0422055,650571
2759.05,0.891519,1.12344,0.0397409,508293
422224,0.937701,1.18163,0.0691187,360296
2101.09,0.894311,1.12695,0.0405728,501687
35599.6,0.912283,1.1496,0.0352136,494920
2089.82,0.894677,1.12742,0.0404755,501573
3620.36,0.899083,1.13297,0.0392324,501223
2089.73,0.89471,1.12746,0.0404663,501570
2089.76,0.894687,1.12743,0.0404541,501572
2089.7,0.8947,1.12744,0.0404612,501571
2089.63,0.894699,1.12744,0.0404606,501570
2088.95,0.894689,1.12743,0.0404548,501565
2083.22,0.894592,1.12731,0.0403973,501506
2070.33,0.894608,1.12733,0.0403861,501393
1949.59,0.894765,1.12753,0.0402746,500264
1699.19,0.893777,1.12628,0.0400864,497801
4136.51,0.88236,1.11189,0.0412519,492292
1677.95,0.892876,1.12515,0.0401838,497332
4909.23,0.909078,1.14556,0.040791,496783
1677.81,0.892992,1.12529,0.0401877,497328
1677.9,0.893136,1.12547,0.0400972,497326
1677.76,0.893047,1.12536,0.0401535,497328
1677.66,0.893048,1.12536,0.0401511,497326
1676.62,0.893057,1.12537,0.0401269,497307
1667.05,0.893152,1.12549,0.039886,497125
1645.75,0.893084,1.12541,0.0398794,496736
1448.45,0.892409,1.12456,0.0398133,492862
1441.84,0.882068,1.11153,0.0417169,484363
1336,0.887345,1.11818,0.0407743,488499
85059.7,0.757243,0.95423,0.0979115,480559
1335.86,0.887266,1.11808,0.0408152,488490
1336.08,0.887426,1.11828,0.0409157,488478
1335.82,0.887311,1.11813,0.0408432,488487
1335.74,0.88731,1.11813,0.0408416,488485
1334.97,0.887299,1.11812,0.0408253,488464
1327.63,0.887184,1.11797,0.0406631,488258
1311.41,0.887122,1.1179,0.0406599,487811
1165.57,0.886497,1.11711,0.0406281,483356
2413.67,0.880535,1.1096,0.0463541,473968
1148.93,0.885955,1.11643,0.0411794,482384
15305.6,0.847675,1.06819,0.0313721,481585
1148.91,0.885925,1.11639,0.0411664,482383
1148.88,0.885923,1.11638,0.0411634,482381
1148.63,0.8859,1.11636,0.0411337,482365
1148.06,0.885895,1.11635,0.0411334,482339
1142.44,0.885842,1.11628,0.0411311,482080
1089.38,0.885314,1.11562,0.0411076,479494
1054.21,0.885123,1.11538,0.0417732,473808
108144,0.915593,1.15377,0.122292,468423
1054.2,0.885143,1.1154,0.041786,473807
1054.18,0.885144,1.1154,0.0417868,473805
1053.99,0.885149,1.11541,0.0417946,473786
1053.57,0.885141,1.1154,0.0417956,473750
1049.34,0.885065,1.1153,0.0418061,473387
1009.91,0.884301,1.11434,0.0419111,469776
1929.02,0.882312,1.11183,0.0411232,461964
1007.98,0.884218,1.11424,0.0418762,469430
1004.13,0.884136,1.11413,0.0418859,469097
968.214,0.883318,1.1131,0.0419826,465780
900.243,0.880366,1.10938,0.0426459,453766
823.405,0.871633,1.09838,0.0448763,422308
815.889,0.867264,1.09287,0.0463995,408391
804.075,0.858294,1.08157,0.0498062,382822
792.69,0.841406,1.06029,0.0566508,342644
788.608,0.839727,1.05817,0.0575727,340158
786.792,0.836412,1.05399,0.0589709,333524
784.914,0.833905,1.05083,0.0600141,328689
783.659,0.832046,1.04849,0.0607281,325178
783.147,0.830621,1.0467,0.0612546,322476
782.966,0.829672,1.0455,0.0615812,320747
782.921,0.829141,1.04483,0.0617901,319769
782.912,0.828887,1.04451,0.0618939,319310
782.909,0.828773,1.04437,0.0619418,319101
782.903,0.828665,1.04423,0.0619873,318903
782.893,0.828534,1.04407,0.0620425,318662
782.875,0.828397,1.04389,0.0621,318412
782.845,0.828202,1.04365,0.0621825,318053
782.835,0.82803,1.04343,0.0622566,317736
782.825,0.828093,1.04351,0.0622296,317851
782.804,0.828137,1.04357,0.062212,317931
782.764,0.828309,1.04378,0.0621404,318245
782.701,0.828523,1.04405,0.0620504,318633
782.63,0.829077,1.04475,0.0618185,319649
782.674,0.829548,1.04534,0.0616205,320528
782.609,0.829286,1.04501,0.0617305,320039
782.592,0.829334,1.04507,0.0617098,320132
782.561,0.829265,1.04499,0.0617381,320006
782.511,0.829101,1.04478,0.0618066,319704
782.448,0.828831,1.04444,0.0619187,319217
783.077,0.828348,1.04383,0.0621227,318314
782.435,0.82871,1.04429,0.0619701,318989
782.413,0.828623,1.04418,0.0620071,318822
782.375,0.828685,1.04426,0.0619817,318934
782.319,0.828988,1.04464,0.0618552,319493
782.365,0.829067,1.04474,0.0618215,319637
782.302,0.829023,1.04468,0.0618403,319557
782.274,0.829098,1.04478,0.0618082,319696
782.23,0.82909,1.04477,0.0618113,319682
782.428,0.829014,1.04467,0.0618432,319542
782.215,0.829065,1.04473,0.0618221,319634
782.19,0.828995,1.04465,0.0618516,319505
782.15,0.828883,1.04451,0.0618986,319299
782.111,0.8288,1.0444,0.0619335,319145
782.23,0.828701,1.04428,0.0619751,318963
782.093,0.828762,1.04435,0.0619496,319075
782.074,0.828812,1.04442,0.0619283,319168
782.045,0.82893,1.04457,0.0618787,319385
782.068,0.829058,1.04473,0.0618247,319623
